trajectory_id,primitive_0,primitive_1,primitive_2,primitive_3,primitive_4,primitive_5,primitive_6,primitive_7,primitive_8,primitive_9,primitive_10,primitive_11,primitive_12,primitive_13,primitive_14,primitive_15,primitive_16,primitive_17,primitive_18,primitive_19,primitive_20,primitive_21,primitive_22,primitive_23,primitive_24,primitive_25,primitive_26,primitive_27,primitive_28,primitive_29,primitive_30,primitive_31
352,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
360,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
365,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
367,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
368,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
392,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
393,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
394,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
398,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
406,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
422,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
426,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
432,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
441,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
445,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
447,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
451,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
453,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
454,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
469,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
479,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
481,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
482,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
484,1,3,5,1,3,4,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,1,2,1
