mode,step,reward,target_keys,rp1m_piano_keys,sim_keys,action_l2,action_max_abs
zero,50,2.102231258983368,"[22, 31, 34, 50]","[22, 51]",[],0.0,0.0
zero,51,2.102235168676906,"[31, 34, 50]",[],[],0.0,0.0
zero,52,2.1491674570609707,"[31, 34, 50]",[50],[],0.0,0.0
zero,53,2.144959235268764,"[31, 34, 48, 50]","[34, 48, 50]",[],0.0,0.0
zero,54,2.1648680076115814,"[31, 34, 48]","[31, 34, 48, 50]",[],0.0,0.0
zero,55,2.164872141560829,"[31, 34, 48]","[31, 34, 36]",[],0.0,0.0
zero,56,2.1449700536863823,"[31, 34, 48, 50]","[31, 34, 48]",[],0.0,0.0
zero,57,2.1491863060308742,"[31, 34, 50]","[31, 34, 48]",[],0.0,0.0
zero,58,2.1491890525280173,"[31, 34, 50]","[31, 34, 48]",[],0.0,0.0
zero,59,2.1449780252732396,"[31, 34, 48, 50]","[31, 34, 48]",[],0.0,0.0
zero,60,2.164887522838927,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,61,2.164889768550369,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,62,2.16489179857977,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,63,2.164893634021505,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,64,2.1648952938726786,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,65,2.1648967952458653,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,66,2.1648981535597374,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,67,2.164899382709952,"[31, 34, 48]","[31, 34, 48]",[],0.0,0.0
zero,68,2.138281915972594,"[31, 34, 46, 48]","[31, 34, 48]",[],0.0,0.0
zero,69,2.1647863454708607,"[31, 34, 46]","[31, 34, 48]",[],0.0,0.0
zero,70,2.1647872520392375,"[31, 34, 46]","[31, 34, 50]",[],0.0,0.0
zero,71,2.1647880731402864,"[31, 34, 46]","[31, 34, 46]",[],0.0,0.0
zero,72,2.1647888170128757,"[31, 34, 46]","[31, 34, 46]",[],0.0,0.0
zero,73,2.1647894910913017,"[31, 34, 46]","[31, 34, 46]",[],0.0,0.0
zero,74,2.164790102085107,"[31, 34, 46]","[31, 34, 46]",[],0.0,0.0
zero,75,2.095996175784755,"[26, 31, 34, 53]","[31, 34, 46]",[],0.0,0.0
zero,76,2.093138990190522,"[26, 34, 53]","[31, 34, 53]",[],0.0,0.0
zero,77,2.0931392439852394,"[26, 34, 53]","[34, 53]",[],0.0,0.0
zero,78,2.093139476011191,"[26, 34, 53]","[34, 53]",[],0.0,0.0
zero,79,2.09313968833944,"[26, 34, 53]","[26, 27, 34, 53]",[],0.0,0.0
zero,80,2.093139882841119,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,81,2.0931400612070084,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,82,2.093140224965154,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,83,2.0931403754967404,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,84,2.09314051405038,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,85,2.0931406417549985,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,86,2.0931407596314395,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,87,2.093140868602931,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,88,2.0931409695045198,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,89,2.0931410630915863,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,90,2.0931411500475194,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,91,2.093141230990644,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,92,2.0931413064804785,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,93,2.0931413770233727,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,94,2.0931414430776103,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,95,2.0931415050580084,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,96,2.093141563340073,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,97,2.0931416182637568,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,98,2.0931416701368506,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,99,2.09314171923804,"[26, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,100,2.0738894055722223,"[26, 27, 34]","[26, 34, 53]",[],0.0,0.0
zero,101,2.0820144882656133,"[27, 34, 53]","[26, 34, 53]",[],0.0,0.0
zero,102,2.1080454636113526,"[27, 34, 53]","[34, 53]",[],0.0,0.0
zero,103,2.1080455096516744,"[27, 34, 53]","[34, 53]",[],0.0,0.0
zero,104,2.108045553711384,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,105,2.108045595967186,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,106,2.108045636579147,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,107,2.108045675692274,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,108,2.108045713437941,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,109,2.1080457499351803,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,110,2.108045785291849,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,111,2.108045819605688,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,112,2.108045852965274,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,113,2.1088737713591197,"[27, 53]","[27, 34, 53]",[],0.0,0.0
zero,114,2.1080459171353043,"[27, 34, 53]","[27, 53]",[],0.0,0.0
zero,115,2.10804594808448,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,116,2.108045978358219,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,117,2.1080460080107404,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,118,2.108046037091206,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
zero,119,2.1080460656442,"[27, 34, 53]","[27, 34, 53]",[],0.0,0.0
rp1m_reset_only,0,1.444145044429006,"[22, 50]",[],[],4.073739051818848,2.527052879333496
rp1m_reset_only,1,1.2453522306466018,"[22, 50]",[],[],4.424405097961426,3.0692975521087646
rp1m_reset_only,2,0.039276185579946096,"[22, 50]",[],[],4.579288959503174,2.428884983062744
rp1m_reset_only,3,0.21930542545978549,"[22, 48, 50]",[],[],4.936127185821533,2.003889799118042
rp1m_reset_only,4,1.7903565997908768,"[22, 48]",[48],[],5.388864040374756,2.176121711730957
rp1m_reset_only,5,0.893010058411039,"[22, 48]",[48],[],5.779340744018555,2.74908709526062
rp1m_reset_only,6,1.8450005619814704,"[22, 48]","[23, 48]",[],6.003278732299805,2.5091850757598877
rp1m_reset_only,7,2.145700411399729,"[22, 50]","[22, 24, 48]","[46, 48, 50, 51]",6.294278621673584,3.059953212738037
rp1m_reset_only,8,1.7910819962639248,"[22, 50]",[22],[],7.145064830780029,3.1032838821411133
rp1m_reset_only,9,2.0429774656284283,"[22, 50]",[22],[],7.0791335105896,3.1178832054138184
rp1m_reset_only,10,1.2183961162432166,"[22, 50]","[22, 48, 50]",[],6.446088790893555,3.1310253143310547
rp1m_reset_only,11,0.9784146094358904,"[22, 50]","[22, 50]",[],5.741702079772949,3.004923105239868
rp1m_reset_only,12,0.8544839450930112,"[22, 50]","[22, 50]",[],6.286056041717529,3.0741708278656006
rp1m_reset_only,13,0.9991405106631208,"[22, 50]","[22, 50]",[38],6.433452129364014,3.0470809936523438
rp1m_reset_only,14,1.6735424798075782,"[22, 50]","[22, 50]",[38],6.283373832702637,3.078171491622925
rp1m_reset_only,15,0.9913141727239775,"[22, 50]","[22, 50]",[],6.688444137573242,3.0910818576812744
rp1m_reset_only,16,1.6761152093315048,"[22, 50]","[22, 50]",[],5.808900356292725,2.875514507293701
rp1m_reset_only,17,2.0052361790025435,"[22, 50]","[22, 50]",[],6.1305742263793945,2.730719566345215
rp1m_reset_only,18,1.871984454227574,"[22, 50]","[22, 50]",[],5.822307109832764,2.8288493156433105
rp1m_reset_only,19,0.9056838398765477,"[22, 50]","[22, 50]","[44, 47]",5.67588996887207,3.0210440158843994
rp1m_reset_only,20,1.085075585638584,"[22, 50]","[22, 50]",[49],6.477537155151367,2.9637956619262695
rp1m_reset_only,21,1.5730776044863153,"[22, 50]","[22, 50]",[],6.939185619354248,2.9277119636535645
rp1m_reset_only,22,2.1818958953996828,"[22, 50]","[22, 50]",[],6.386830806732178,2.9559850692749023
rp1m_reset_only,23,1.7268583169658576,"[22, 50]","[22, 50]",[52],6.403535842895508,2.6353304386138916
rp1m_reset_only,24,1.7328046242833761,"[22, 50]","[22, 50]",[52],7.285067558288574,3.0714752674102783
rp1m_reset_only,25,2.028883828406201,"[22, 34, 50]","[22, 50]",[],7.61207914352417,3.1179349422454834
rp1m_reset_only,26,1.4656013262203946,"[22, 34, 50]","[22, 50]",[],7.62642765045166,3.0808515548706055
rp1m_reset_only,27,1.5862601413869921,"[22, 34, 50]","[22, 50]",[],7.238038063049316,3.1111316680908203
rp1m_reset_only,28,1.9892687989442182,"[22, 34, 50]","[20, 22, 50]",[],6.444832801818848,3.0582127571105957
rp1m_reset_only,29,0.7686289519628349,"[22, 34, 50]","[20, 22, 50]",[52],6.802675724029541,3.0921542644500732
rp1m_reset_only,30,1.219063888667304,"[22, 34, 50]","[22, 50]",[],6.285158157348633,2.972386598587036
rp1m_reset_only,31,1.9959179145307921,"[22, 34, 50]","[22, 50]",[],6.971067905426025,3.0189945697784424
rp1m_reset_only,32,1.557501123862866,"[22, 34, 50]","[22, 50]",[69],6.900534629821777,3.0899112224578857
rp1m_reset_only,33,1.937775368175089,"[22, 34, 50]","[22, 50]",[],6.944094657897949,3.1259403228759766
rp1m_reset_only,34,-0.04569930092160801,"[22, 34, 50]","[22, 50]",[],6.81732702255249,3.1276307106018066
rp1m_reset_only,35,-1.3620524310033206,"[22, 34, 50]","[22, 50]",[61],6.625476360321045,3.0320167541503906
rp1m_reset_only,36,1.4439260922406867,"[22, 34, 50]","[22, 50]",[54],6.7949652671813965,2.985661268234253
rp1m_reset_only,37,1.1075334302797528,"[22, 34, 50, 51]","[22, 50]","[49, 50]",6.483022212982178,2.8976454734802246
rp1m_reset_only,38,1.3626834819342453,"[22, 34, 51]","[22, 50]",[],6.49158239364624,3.015713930130005
rp1m_reset_only,39,1.6218043673643856,"[22, 34, 51]","[22, 51]",[48],6.3827056884765625,3.0493340492248535
rp1m_reset_only,40,1.9021313910792674,"[22, 34, 51]","[22, 51]","[51, 52]",6.758133888244629,2.9993581771850586
rp1m_reset_only,41,2.2216407255952193,"[22, 34, 51]","[22, 51]",[51],6.919722080230713,3.1013967990875244
rp1m_reset_only,42,1.2632893862644068,"[22, 34, 51]","[22, 51]",[51],7.512263774871826,3.111968517303467
rp1m_reset_only,43,0.9135326501261408,"[22, 34, 51]","[22, 51]",[],6.948280334472656,3.121408224105835
rp1m_reset_only,44,1.597999806911515,"[22, 34, 51]","[22, 51]",[],6.9991230964660645,3.1051456928253174
rp1m_reset_only,45,1.604974365780349,"[22, 34, 51]","[22, 51]",[],7.128118991851807,3.074857473373413
rp1m_reset_only,46,1.9473183117786517,"[22, 34, 51]","[22, 51]",[],7.052918910980225,3.07279896736145
rp1m_reset_only,47,2.0094411982494234,"[22, 34, 51]","[22, 51]",[],6.743175506591797,3.0898170471191406
rp1m_reset_only,48,2.0104068714507166,"[22, 34, 51]","[22, 51]",[],6.693942546844482,2.8216419219970703
rp1m_reset_only,49,1.4458708151338704,"[22, 34, 51]","[22, 51]","[43, 44]",6.645892143249512,3.0027945041656494
rp1m_reset_only,50,0.4759686948523158,"[22, 31, 34, 50]","[22, 51]","[44, 46]",6.073883056640625,3.0360097885131836
rp1m_reset_only,51,0.5388253232005789,"[31, 34, 50]",[],[],7.3024983406066895,3.119070291519165
rp1m_reset_only,52,0.6761922406774414,"[31, 34, 50]",[50],[],7.971019744873047,3.1133389472961426
rp1m_reset_only,53,0.7107734923298975,"[31, 34, 48, 50]","[34, 48, 50]",[],7.722471237182617,3.0880343914031982
rp1m_reset_only,54,1.7899940174102928,"[31, 34, 48]","[31, 34, 48, 50]",[33],6.909069061279297,2.8544318675994873
rp1m_reset_only,55,1.0533114724912036,"[31, 34, 48]","[31, 34, 36]","[22, 33]",6.867392063140869,3.1194896697998047
rp1m_reset_only,56,0.1531984268428861,"[31, 34, 48, 50]","[31, 34, 48]",[37],7.295763969421387,2.888327121734619
rp1m_reset_only,57,2.0175120638340047,"[31, 34, 50]","[31, 34, 48]",[],7.072745323181152,2.9811341762542725
rp1m_reset_only,58,1.7589556893767497,"[31, 34, 50]","[31, 34, 48]",[],6.471428394317627,2.9860548973083496
rp1m_reset_only,59,1.1110694048808305,"[31, 34, 48, 50]","[31, 34, 48]",[],7.097076892852783,2.8702549934387207
rp1m_reset_only,60,0.9753847257239596,"[31, 34, 48]","[31, 34, 48]","[41, 43]",6.53369665145874,3.0631048679351807
rp1m_reset_only,61,2.310483966936176,"[31, 34, 48]","[31, 34, 48]",[],5.9764814376831055,2.759889602661133
rp1m_reset_only,62,0.5222194187926457,"[31, 34, 48]","[31, 34, 48]",[],5.783876895904541,2.6393556594848633
rp1m_reset_only,63,1.9832169056180473,"[31, 34, 48]","[31, 34, 48]",[],7.084377288818359,2.886265277862549
rp1m_reset_only,64,1.0989486914038902,"[31, 34, 48]","[31, 34, 48]",[],7.103121280670166,2.9703879356384277
rp1m_reset_only,65,2.105934512695833,"[31, 34, 48]","[31, 34, 48]",[],6.493990421295166,2.838717460632324
rp1m_reset_only,66,1.8906544760188586,"[31, 34, 48]","[31, 34, 48]",[],7.702935218811035,3.0982518196105957
rp1m_reset_only,67,2.095764638745611,"[31, 34, 48]","[31, 34, 48]",[],7.792529582977295,3.134152889251709
rp1m_reset_only,68,0.9617656655656991,"[31, 34, 46, 48]","[31, 34, 48]",[],7.996274471282959,3.0989246368408203
rp1m_reset_only,69,1.2655451451266313,"[31, 34, 46]","[31, 34, 48]",[],7.491410255432129,2.947171211242676
rp1m_reset_only,70,1.0973211323264076,"[31, 34, 46]","[31, 34, 50]",[49],8.214097023010254,3.092890501022339
rp1m_reset_only,71,1.0056823864003024,"[31, 34, 46]","[31, 34, 46]",[42],8.290492057800293,3.0013415813446045
rp1m_reset_only,72,1.0634010797499684,"[31, 34, 46]","[31, 34, 46]","[38, 43]",7.642470359802246,3.0420610904693604
rp1m_reset_only,73,1.5463183463739878,"[31, 34, 46]","[31, 34, 46]",[],6.432484149932861,2.7239606380462646
rp1m_reset_only,74,1.9822527608568667,"[31, 34, 46]","[31, 34, 46]",[],7.111715793609619,3.112992286682129
rp1m_reset_only,75,1.2671041894952584,"[26, 31, 34, 53]","[31, 34, 46]",[39],6.837702751159668,3.092883348464966
rp1m_reset_only,76,0.8970320112725316,"[26, 34, 53]","[31, 34, 53]","[39, 41]",6.5710673332214355,2.9224326610565186
rp1m_reset_only,77,2.0143568164228074,"[26, 34, 53]","[34, 53]",[],6.414872169494629,3.064629077911377
rp1m_reset_only,78,1.3051841365296073,"[26, 34, 53]","[34, 53]",[],7.100994110107422,2.999403953552246
rp1m_reset_only,79,1.5537220951226416,"[26, 34, 53]","[26, 27, 34, 53]",[],7.0259599685668945,3.061913251876831
rp1m_reset_only,80,2.0824033435643634,"[26, 34, 53]","[26, 34, 53]",[],7.654726982116699,3.051398992538452
rp1m_reset_only,81,1.421173156206318,"[26, 34, 53]","[26, 34, 53]",[],7.193090438842773,3.0673680305480957
rp1m_reset_only,82,1.2977311323709781,"[26, 34, 53]","[26, 34, 53]",[38],6.997188568115234,3.041896343231201
rp1m_reset_only,83,1.9092205152613522,"[26, 34, 53]","[26, 34, 53]",[],7.582589149475098,3.0745065212249756
rp1m_reset_only,84,1.9368557524584336,"[26, 34, 53]","[26, 34, 53]",[],7.114199638366699,2.968526840209961
rp1m_reset_only,85,1.5615816026328813,"[26, 34, 53]","[26, 34, 53]",[],7.0291900634765625,3.129321813583374
rp1m_reset_only,86,0.867311087914288,"[26, 34, 53]","[26, 34, 53]","[38, 39]",6.706507682800293,3.104600429534912
rp1m_reset_only,87,-0.09967456650051987,"[26, 34, 53]","[26, 34, 53]",[],7.169608116149902,2.9532525539398193
rp1m_reset_only,88,1.1450722879257835,"[26, 34, 53]","[26, 34, 53]",[],7.027928829193115,3.097447633743286
rp1m_reset_only,89,1.9330261596858613,"[26, 34, 53]","[26, 34, 53]",[],6.876181125640869,3.0553972721099854
rp1m_reset_only,90,1.930512938885376,"[26, 34, 53]","[26, 34, 53]",[],7.199893474578857,3.1222147941589355
rp1m_reset_only,91,1.633947227755627,"[26, 34, 53]","[26, 34, 53]",[],7.2181196212768555,3.0319936275482178
rp1m_reset_only,92,0.9928133954899778,"[26, 34, 53]","[26, 34, 53]",[],6.896482467651367,3.092228412628174
rp1m_reset_only,93,2.057812053221464,"[26, 34, 53]","[26, 34, 53]",[],6.686176300048828,3.02121901512146
rp1m_reset_only,94,0.8787984187919183,"[26, 34, 53]","[26, 34, 53]",[],6.6166486740112305,3.0485424995422363
rp1m_reset_only,95,2.021933933602129,"[26, 34, 53]","[26, 34, 53]",[],6.657625198364258,3.0029356479644775
rp1m_reset_only,96,1.425586617010413,"[26, 34, 53]","[26, 34, 53]","[49, 52]",6.799590587615967,3.1165072917938232
rp1m_reset_only,97,0.766512307588826,"[26, 34, 53]","[26, 34, 53]",[],7.386986255645752,3.1197361946105957
rp1m_reset_only,98,1.9736826928999442,"[26, 34, 53]","[26, 34, 53]",[],6.891757011413574,3.0552167892456055
rp1m_reset_only,99,1.319894214127917,"[26, 34, 53]","[26, 34, 53]",[],7.044199466705322,3.1315412521362305
rp1m_reset_only,100,1.8430067257793332,"[26, 27, 34]","[26, 34, 53]",[],6.3014678955078125,3.0692927837371826
rp1m_reset_only,101,1.74915943943727,"[27, 34, 53]","[26, 34, 53]",[],7.015872478485107,3.1347737312316895
rp1m_reset_only,102,1.118833491957433,"[27, 34, 53]","[34, 53]",[],6.902149677276611,2.981499195098877
rp1m_reset_only,103,1.5315829557980392,"[27, 34, 53]","[34, 53]",[],6.928606986999512,3.002837896347046
rp1m_reset_only,104,1.636128765432671,"[27, 34, 53]","[27, 34, 53]",[],6.686774253845215,3.0041730403900146
rp1m_reset_only,105,1.2697681850683264,"[27, 34, 53]","[27, 34, 53]",[],6.6584696769714355,3.1046791076660156
rp1m_reset_only,106,1.303238177375154,"[27, 34, 53]","[27, 34, 53]",[],6.735018730163574,2.947908401489258
rp1m_reset_only,107,0.7467683901548894,"[27, 34, 53]","[27, 34, 53]",[40],7.178104877471924,3.040879249572754
rp1m_reset_only,108,1.8499286237099852,"[27, 34, 53]","[27, 34, 53]",[],7.062036037445068,3.097301959991455
rp1m_reset_only,109,2.076000550029354,"[27, 34, 53]","[27, 34, 53]",[],6.885330677032471,3.095736503601074
rp1m_reset_only,110,1.9748466025258269,"[27, 34, 53]","[27, 34, 53]",[],7.323398590087891,3.0303187370300293
rp1m_reset_only,111,1.424296937149186,"[27, 34, 53]","[27, 34, 53]",[42],7.469709873199463,3.01757550239563
rp1m_reset_only,112,1.3335884363344577,"[27, 34, 53]","[27, 34, 53]",[45],6.789231777191162,2.961064100265503
rp1m_reset_only,113,1.9645073567390825,"[27, 53]","[27, 34, 53]","[49, 50, 51]",6.455595970153809,2.8323261737823486
rp1m_reset_only,114,1.6440390393555562,"[27, 34, 53]","[27, 53]",[49],7.682113170623779,3.033936023712158
rp1m_reset_only,115,1.1131402740238279,"[27, 34, 53]","[27, 34, 53]",[],7.764873027801514,3.1309683322906494
rp1m_reset_only,116,2.21051454096002,"[27, 34, 53]","[27, 34, 53]",[],6.769832611083984,2.926302909851074
rp1m_reset_only,117,1.647330225712837,"[27, 34, 53]","[27, 34, 53]",[],7.144345760345459,3.0662896633148193
rp1m_reset_only,118,1.1940014627512041,"[27, 34, 53]","[27, 34, 53]",[42],7.491989612579346,3.0366604328155518
rp1m_reset_only,119,1.095172637668143,"[27, 34, 53]","[27, 34, 53]",[],7.011593818664551,3.0950655937194824
rp1m_reset_only,0,1.1046575065614532,"[22, 50]",[],[],4.1874918937683105,1.9144946336746216
rp1m_reset_only,1,0.6878539413988329,"[22, 50]",[],[],5.362028121948242,2.6591637134552
rp1m_reset_only,2,0.6436890488627975,"[22, 50]",[],[],5.873545169830322,3.1014585494995117
rp1m_reset_only,3,1.3558489734122665,"[22, 48, 50]",[],[],6.4970598220825195,3.1216681003570557
rp1m_reset_only,4,2.282486496960159,"[22, 48]",[48],[],6.536345958709717,3.0645101070404053
rp1m_reset_only,5,2.6293981964773923,"[22, 48]",[48],[],6.463200092315674,2.749483108520508
rp1m_reset_only,6,2.2231378268739355,"[22, 48]","[23, 48]",[46],6.801428318023682,3.1051626205444336
rp1m_reset_only,7,1.6432131948846038,"[22, 50]","[22, 24, 48]","[26, 27, 48]",6.166823387145996,3.005903959274292
rp1m_reset_only,8,2.378676177388586,"[22, 50]",[22],[],6.502008438110352,3.1032838821411133
rp1m_reset_only,9,0.7451833873485871,"[22, 50]",[22],[47],7.22221565246582,3.1178832054138184
rp1m_reset_only,10,1.9832896932412496,"[22, 50]","[22, 48, 50]",[],6.699024200439453,3.106229543685913
rp1m_reset_only,11,1.124803707503281,"[22, 50]","[22, 50]",[],6.539691925048828,3.004923105239868
rp1m_reset_only,12,2.167162150048353,"[22, 50]","[22, 50]",[],6.4021806716918945,3.0393686294555664
rp1m_reset_only,13,1.8151223315861538,"[22, 50]","[22, 50]",[],6.642247200012207,3.0470809936523438
rp1m_reset_only,14,2.4416208545787277,"[22, 50]","[22, 50]",[],6.73236083984375,3.078171491622925
rp1m_reset_only,15,2.7379486270452738,"[22, 50]","[22, 50]",[50],7.265827655792236,3.083540678024292
rp1m_reset_only,16,2.0734138834129343,"[22, 50]","[22, 50]",[],6.546656131744385,2.9132678508758545
rp1m_reset_only,17,2.300156330914157,"[22, 50]","[22, 50]",[],6.935360908508301,3.0757665634155273
rp1m_reset_only,18,1.3196465057729765,"[22, 50]","[22, 50]",[31],6.640272617340088,3.1091105937957764
rp1m_reset_only,19,1.4795678252358002,"[22, 50]","[22, 50]",[47],6.325384616851807,2.906810760498047
rp1m_reset_only,20,1.5613778272114867,"[22, 50]","[22, 50]","[46, 47]",6.581197261810303,2.981119155883789
rp1m_reset_only,21,1.8566632279245143,"[22, 50]","[22, 50]",[],7.430640697479248,3.050692558288574
rp1m_reset_only,22,2.15610140443623,"[22, 50]","[22, 50]",[],6.751891136169434,3.0907809734344482
rp1m_reset_only,23,1.4659112709366307,"[22, 50]","[22, 50]",[],6.784371852874756,3.1237716674804688
rp1m_reset_only,24,1.7240762937548746,"[22, 50]","[22, 50]",[51],6.8439040184021,3.0887975692749023
rp1m_reset_only,25,1.415202899513052,"[22, 34, 50]","[22, 50]",[33],7.0930657386779785,3.1179349422454834
rp1m_reset_only,26,1.800904403809812,"[22, 34, 50]","[22, 50]",[33],6.922634124755859,3.0557162761688232
rp1m_reset_only,27,0.9351711352146654,"[22, 34, 50]","[22, 50]",[33],6.321909427642822,2.7245421409606934
rp1m_reset_only,28,1.858641780682342,"[22, 34, 50]","[20, 22, 50]","[33, 43]",5.880053997039795,2.8196728229522705
rp1m_reset_only,29,0.9354791089606203,"[22, 34, 50]","[20, 22, 50]",[43],5.869408130645752,2.921795129776001
rp1m_reset_only,30,0.795276329933639,"[22, 34, 50]","[22, 50]","[42, 43, 46]",4.824124336242676,2.3248953819274902
