trajectory_id,primitive_0,primitive_1,primitive_2,primitive_3,primitive_4,primitive_5,primitive_6,primitive_7,primitive_8,primitive_9,primitive_10,primitive_11,primitive_12,primitive_13,primitive_14,primitive_15,primitive_16,primitive_17,primitive_18,primitive_19,primitive_20,primitive_21,primitive_22,primitive_23,primitive_24,primitive_25,primitive_26,primitive_27,primitive_28,primitive_29,primitive_30,primitive_31
151,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
158,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
165,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
172,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
178,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
183,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
185,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
189,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
193,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
194,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
204,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
208,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
209,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
231,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
259,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
268,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
271,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
286,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
287,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
289,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
291,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
293,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
323,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
324,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
325,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
345,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
352,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
360,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
365,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
368,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
392,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
393,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
394,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
398,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
406,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
422,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
424,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
426,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
432,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
441,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
445,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
447,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
451,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
453,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
454,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
469,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
479,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
481,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
482,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
484,1,5,1,1,4,1,1,1,3,1,2,1,2,1,3,1,1,1,1,1,3,3,1,1,2,2,1,2,1,1,1,1
